make,model,model_year,incident_year,fatal_crash_count,occupant_death_count,total_incident_count,claim_count,incident_source,incident_quality_flag,crss_weight
Tesla,Model Y,2020,2022,0,0,,,synthetic,low,
Tesla,Model Y,2020,2023,2,3,,,synthetic,low,
Tesla,Model Y,2020,2024,2,2,,,synthetic,low,
Tesla,Model Y,2020,2025,1,1,,,synthetic,low,
Jeep,Grand Cherokee,2010,2011,4,5,,,synthetic,low,
Jeep,Grand Cherokee,2010,2012,4,5,,,synthetic,low,
Jeep,Grand Cherokee,2010,2013,7,8,,,synthetic,low,
Jeep,Grand Cherokee,2010,2014,3,3,,,synthetic,low,
Jeep,Grand Cherokee,2010,2015,8,11,,,synthetic,low,
Jeep,Grand Cherokee,2015,2016,5,5,,,synthetic,low,
Jeep,Grand Cherokee,2015,2017,4,4,,,synthetic,low,
Jeep,Grand Cherokee,2015,2018,2,3,,,synthetic,low,
Jeep,Grand Cherokee,2015,2019,6,7,,,synthetic,low,
Jeep,Grand Cherokee,2015,2020,1,1,,,synthetic,low,
Jeep,Grand Cherokee,2020,2021,4,4,,,synthetic,low,
Jeep,Grand Cherokee,2020,2022,6,8,,,synthetic,low,
Jeep,Grand Cherokee,2020,2023,6,7,,,synthetic,low,
Jeep,Grand Cherokee,2020,2024,5,5,,,synthetic,low,
Jeep,Grand Cherokee,2020,2025,2,2,,,synthetic,low,
Jeep,Wrangler,2010,2011,5,5,,,synthetic,low,
Jeep,Wrangler,2010,2012,6,8,,,synthetic,low,
Jeep,Wrangler,2010,2013,5,7,,,synthetic,low,
Jeep,Wrangler,2010,2014,5,5,,,synthetic,low,
Jeep,Wrangler,2010,2015,4,4,,,synthetic,low,
Jeep,Wrangler,2015,2016,1,1,,,synthetic,low,
Jeep,Wrangler,2015,2017,4,5,,,synthetic,low,
Jeep,Wrangler,2015,2018,2,2,,,synthetic,low,
Jeep,Wrangler,2015,2019,5,5,,,synthetic,low,
Jeep,Wrangler,2015,2020,1,1,,,synthetic,low,
Jeep,Wrangler,2020,2021,0,0,,,synthetic,low,
Jeep,Wrangler,2020,2022,4,4,,,synthetic,low,
Jeep,Wrangler,2020,2023,3,4,,,synthetic,low,
Jeep,Wrangler,2020,2024,4,5,,,synthetic,low,
Jeep,Wrangler,2020,2025,3,4,,,synthetic,low,
