make,model,model_year,year_of_exposure,vehicles_on_road,registered_vehicle_years,exposure_source,exposure_quality_flag
Jeep,Grand Cherokee,2020,2022,324707,324707,synthetic,low
Jeep,Grand Cherokee,2020,2023,302032,302032,synthetic,low
Jeep,Grand Cherokee,2020,2024,282263,282263,synthetic,low
Jeep,Grand Cherokee,2020,2025,257396,257396,synthetic,low
Jeep,Wrangler,2010,2011,187727,187727,synthetic,low
Jeep,Wrangler,2010,2012,166163,166163,synthetic,low
Jeep,Wrangler,2010,2013,158432,158432,synthetic,low
Jeep,Wrangler,2010,2014,151700,151700,synthetic,low
Jeep,Wrangler,2010,2015,140925,140925,synthetic,low
Jeep,Wrangler,2015,2016,229975,229975,synthetic,low
Jeep,Wrangler,2015,2017,200760,200760,synthetic,low
Jeep,Wrangler,2015,2018,190816,190816,synthetic,low
Jeep,Wrangler,2015,2019,172101,172101,synthetic,low
Jeep,Wrangler,2015,2020,159233,159233,synthetic,low
Jeep,Wrangler,2020,2021,252734,252734,synthetic,low
Jeep,Wrangler,2020,2022,232488,232488,synthetic,low
Jeep,Wrangler,2020,2023,218651,218651,synthetic,low
Jeep,Wrangler,2020,2024,192923,192923,synthetic,low
Jeep,Wrangler,2020,2025,183209,183209,synthetic,low
